slot_index,problem_type_id
1,1_1
2,1_2
3,1_3
4,1_4
5,1_5
6,1_6
7,1_7
8,1_8
9,1_9
10,2_1
11,2_2
12,2_3
13,2_4
14,2_5
15,2_6
16,2_7
17,2_8
18,2_9
19,2_10
20,2_11
21,3_1
22,3_2
23,4_1
24,4_2
25,4_3
26,4_4
27,4_5
28,4_6
29,4_7
30,4_8
31,5_1
32,5_2
33,5_3
34,5_4
35,5_5
36,5_6
37,6_1
38,6_2
39,6_3
40,6_4
41,6_5
42,6_6
43,6_7
44,6_8
45,6_9
46,6_10
47,6_11
48,6_12
49,6_13
50,6_14
51,6_15
52,6_16
53,6_17
54,6_18
55,6_19
56,6_20
57,6_21
58,6_22
59,7_1
60,7_2
61,7_3
62,7_4
63,7_5
64,7_6
65,7_7
66,8_1
67,8_2
68,8_3
69,9_1
70,9_2
71,9_3
72,9_4
73,9_5
74,9_6
75,9_7
76,9_8
77,9_9
78,10_1
79,10_2
80,11_1
81,11_2
82,11_3
83,11_4
84,11_5
85,12_1
86,12_2
87,12_3
88,13_1
89,13_2
90,13_3
91,14_1
92,14_2
93,14_3
94,14_4
95,14_5
96,14_6
97,14_7
98,14_8
99,14_9
100,14_10
101,14_11
102,14_12
103,14_13
104,14_14
105,15_1
106,15_2
107,16_1
108,16_2
109,16_3
110,16_4
111,17_1
112,18_1
113,18_2
114,18_3
115,18_4
116,18_5
117,19_1
118,20_1
119,21_1
120,22_1
121,23_1
122,24_1
123,25_1
124,26_1
125,27_1
126,28_1
127,29_1
128,30_1
129,31_1
130,31_2
131,31_3
132,32_1
133,32_2
134,33_1
135,33_2
136,34_1
137,34_2
138,35_1
139,35_2
140,35_3
141,35_4
142,35_5
143,36_1
144,36_2
145,37_1
146,37_2
147,38_1
148,38_2
149,38_3
150,39_1
151,40_1
152,41_1
153,41_2
